Sample description: CaMK2a_WT_4mgmL_20mMMES_150mMNaCl_1mMDTT
Sample: CaMK2a_WT_4mgmL  c= 6.08 mg/ml  Code: CaMK2a_WT_4mgmL_MES_red
Parent(s): /Users/nqd670/Documents/Projects/CamKIIa_local/P12_Oct2022/analysis/FINAL_WT_6x_highconc/sub_002.dat
  1.154230e+00   1.944599e-03   6.767465e-05
  1.157020e+00   1.924291e-03   6.785870e-05
  1.159820e+00   1.847243e-03   6.708372e-05
  1.162610e+00   1.948975e-03   6.754563e-05
  1.165410e+00   1.844850e-03   6.717015e-05
  1.168200e+00   1.795679e-03   6.625641e-05
  1.171000e+00   1.817133e-03   6.675859e-05
  1.173790e+00   1.620349e-03   6.523831e-05
  1.176590e+00   1.907178e-03   6.681135e-05
  1.179380e+00   1.814467e-03   6.656072e-05
  1.182180e+00   1.773727e-03   6.611508e-05
  1.184970e+00   1.804146e-03   6.648934e-05
  1.187770e+00   1.796028e-03   6.578581e-05
  1.190560e+00   1.784521e-03   6.579962e-05
  1.193360e+00   1.766196e-03   6.584339e-05
  1.196150e+00   1.718487e-03   6.532701e-05
  1.198950e+00   1.629908e-03   6.492112e-05
  1.201740e+00   1.593678e-03   6.433099e-05
  1.204540e+00   1.667546e-03   6.476419e-05
  1.207330e+00   1.636872e-03   6.435271e-05
  1.210120e+00   1.730860e-03   6.486202e-05
  1.212920e+00   1.608248e-03   6.409679e-05
  1.215710e+00   1.582146e-03   6.404523e-05
  1.218510e+00   1.544847e-03   6.362528e-05
  1.221300e+00   1.552442e-03   6.349789e-05
  1.224100e+00   1.539095e-03   6.346933e-05
  1.226890e+00   1.545062e-03   6.337883e-05
  1.229690e+00   1.522158e-03   6.351109e-05
  1.232480e+00   1.530562e-03   6.303982e-05
  1.235280e+00   1.562681e-03   6.311360e-05
  1.238070e+00   1.524490e-03   6.330600e-05
  1.240870e+00   1.371934e-03   6.205146e-05
  1.243660e+00   1.413594e-03   6.203021e-05
  1.246460e+00   1.434776e-03   6.226997e-05
  1.249250e+00   1.480622e-03   6.205235e-05
  1.252050e+00   1.506026e-03   6.268122e-05
  1.254840e+00   1.411548e-03   6.150171e-05
  1.257640e+00   1.365646e-03   6.127558e-05
  1.260430e+00   1.454188e-03   6.178123e-05
  1.263220e+00   1.417424e-03   6.168493e-05
  1.266020e+00   1.459982e-03   6.147646e-05
  1.268810e+00   1.331507e-03   6.043984e-05
  1.271610e+00   1.300339e-03   6.053230e-05
  1.274400e+00   1.461997e-03   6.155388e-05
  1.277200e+00   1.367465e-03   6.091819e-05
  1.279990e+00   1.335207e-03   6.040352e-05
  1.282790e+00   1.293128e-03   6.014291e-05
  1.285580e+00   1.342329e-03   6.047469e-05
  1.288380e+00   1.310225e-03   6.042975e-05
  1.291170e+00   1.229595e-03   5.966530e-05
  1.293970e+00   1.247528e-03   5.988053e-05
  1.296760e+00   1.233408e-03   5.989722e-05
  1.299560e+00   1.303566e-03   6.018099e-05
  1.302350e+00   1.202696e-03   5.941275e-05
  1.305150e+00   1.151156e-03   5.907512e-05
  1.307940e+00   1.182184e-03   5.957089e-05
  1.310740e+00   1.207161e-03   5.960880e-05
  1.313530e+00   1.184097e-03   5.950123e-05
  1.316330e+00   1.112115e-03   5.884456e-05
  1.319120e+00   1.093265e-03   5.851533e-05
  1.321910e+00   1.218484e-03   5.943225e-05
  1.324710e+00   1.225681e-03   5.956138e-05
  1.327500e+00   1.147998e-03   5.901956e-05
  1.330300e+00   1.126271e-03   5.867331e-05
  1.333090e+00   1.173350e-03   5.891697e-05
  1.335890e+00   1.062107e-03   5.856342e-05
  1.338680e+00   1.097252e-03   5.837278e-05
  1.341480e+00   1.041232e-03   5.797215e-05
  1.344270e+00   1.025171e-03   5.786266e-05
  1.347070e+00   1.028181e-03   5.793145e-05
  1.349860e+00   1.104350e-03   5.832416e-05
  1.352660e+00   1.108054e-03   5.802396e-05
  1.355450e+00   1.018862e-03   5.768849e-05
  1.358250e+00   1.009553e-03   5.768762e-05
  1.361040e+00   9.657089e-04   5.713970e-05
  1.363840e+00   1.009245e-03   5.723464e-05
  1.366630e+00   9.865345e-04   5.737289e-05
  1.369430e+00   8.961760e-04   5.666253e-05
  1.372220e+00   9.277484e-04   5.678332e-05
  1.375010e+00   9.196661e-04   5.679493e-05
  1.377810e+00   9.793783e-04   5.702559e-05
  1.380600e+00   1.010942e-03   5.721674e-05
  1.383400e+00   9.555115e-04   5.695678e-05
  1.386190e+00   8.688043e-04   5.622780e-05
  1.388990e+00   9.404984e-04   5.639151e-05
  1.391780e+00   9.001217e-04   5.643434e-05
  1.394580e+00   9.782237e-04   5.710046e-05
  1.397370e+00   9.500954e-04   5.622130e-05
  1.400170e+00   8.986678e-04   5.611492e-05
  1.402960e+00   8.259753e-04   5.567067e-05
  1.405760e+00   7.857977e-04   5.553987e-05
  1.408550e+00   9.587796e-04   5.626107e-05
  1.411350e+00   8.929901e-04   5.604569e-05
  1.414140e+00   8.863437e-04   5.577867e-05
  1.416940e+00   8.360674e-04   5.567485e-05
  1.419730e+00   7.937319e-04   5.521600e-05
  1.422530e+00   7.838339e-04   5.518145e-05
  1.425320e+00   8.377056e-04   5.515875e-05
  1.428110e+00   8.358437e-04   5.583490e-05
  1.430910e+00   7.795099e-04   5.499408e-05
  1.433700e+00   8.335428e-04   5.512166e-05
  1.436500e+00   8.112072e-04   5.498465e-05
  1.439290e+00   7.656661e-04   5.453214e-05
  1.442090e+00   8.419638e-04   5.533151e-05
  1.444880e+00   8.340378e-04   5.477465e-05
  1.447680e+00   8.375329e-04   5.517382e-05
  1.450470e+00   6.775559e-04   5.367112e-05
  1.453270e+00   7.567714e-04   5.448141e-05
  1.456060e+00   7.702862e-04   5.452141e-05
  1.458860e+00   7.677697e-04   5.384655e-05
  1.461650e+00   8.156530e-04   5.477488e-05
  1.464450e+00   7.716299e-04   5.447156e-05
  1.467240e+00   8.512418e-04   5.458988e-05
  1.470040e+00   8.320987e-04   5.439750e-05
  1.472830e+00   6.644293e-04   5.311946e-05
  1.475630e+00   7.851316e-04   5.441977e-05
  1.478420e+00   7.607615e-04   5.396327e-05
  1.481220e+00   8.046727e-04   5.392806e-05
  1.484010e+00   6.770559e-04   5.322645e-05
  1.486800e+00   7.367780e-04   5.350758e-05
  1.489600e+00   7.231760e-04   5.371569e-05
  1.492390e+00   7.583734e-04   5.366714e-05
  1.495190e+00   7.907747e-04   5.376058e-05
  1.497980e+00   7.884951e-04   5.375630e-05
  1.500780e+00   6.145773e-04   5.240956e-05
  1.503570e+00   7.549095e-04   5.341395e-05
  1.506370e+00   6.345658e-04   5.257387e-05
  1.509160e+00   6.570576e-04   5.395975e-05
  1.511960e+00   7.174901e-04   5.492508e-05
  1.514750e+00   6.174359e-04   5.411599e-05
  1.517550e+00   7.644605e-04   5.563372e-05
  1.520340e+00   6.224211e-04   5.478153e-05
  1.523140e+00   6.772484e-04   5.567607e-05
  1.525930e+00   6.719638e-04   5.589988e-05
  1.528730e+00   6.041003e-04   5.525650e-05
  1.531520e+00   6.097681e-04   5.579396e-05
  1.534320e+00   5.402039e-04   5.523505e-05
  1.537110e+00   6.242401e-04   5.643850e-05
